id,question,rewritten_question,context,answer,strategy
1636,How many times has Uruguay won the World Cup?,How many times has Uruguay won the World Cup?,"The main sport in Uruguay is football. The Uruguay national football team is one of only five nations to win the FIFA World Cup on two or more occasions. In 1930, Uruguay hosted the first ever World Cup and went on to win the competition, defeating Argentina 4-2 in the final. Uruguay won the 1950 FIFA World Cup as well, famously defeating the favored hosts, Brazil, 2-1 in the final. Uruguay is by far the smallest country, population wise, to win a World Cup. Out of the World Cup winners, the nation with the second smallest population is Argentina (winners of the 1978 and 1986 editions) who currently have just over 40,000,000 people according to the latest estimate; the 2002 census has Uruguay's current population slightly under 3,400,000. The Uruguay national team has also won the Copa AmÃ©rica 14 different times, a record it shares with Argentina.",two or more,384d_enhanced_top1
1638,How much is the average income of an African woman compared to a European man?,How much is the average income of an African woman compared to a European man?,The average income of a woman in 2002 in Uruguay was 71.8% of the income of men for the same activity.  /ref> The average income of African heritage workers is 65% of that of those of European heritage.  /ref>,71.8%,384d_enhanced_top1
1639,Does Uruguay recognize same-sex civil unions?,Is Uruguay a country that recognizes same-sex civil unions?,"In November 2007 it became the first Latin American country and the second in the American Continent to recognize same-sex civil unions at the national level.   Uruguay Passes Civil-Union Law at  San Francisco Bay Times (December 6, 2007)",yes,384d_enhanced_top1
1641,Does Uruguay border French Guiana?,Is Uruguay a country that borders France Guiana?,"Uruguay shares borders with two countries, with Argentina: ",yes,384d_enhanced_top1
1643,Is Uruguay's warmest month June?,Is June the warmest month in Uruguay?,"The coolest month is June, while the warmest is January. The rainfall is equally distributed throughout the year, but tends to be a bit more frequent in the autumn months. There can be frequent thunderstorms in the summer. Although snow is not very common, it snowed in 1913, 1918, 1963, 1989, 1992, and 2007.    ",no,384d_enhanced_top1
1645,What does a citizen use to propose changes to the Constitution?,What does a citizen use to propose changes to the Constitution?,"The Uruguayan constitution allows citizens to challenge laws approved by Parliament by use of a Referendum, or to propose changes to the Constitution by the use of a Plebiscite. During the last 15 years the method has been used several times; to confirm an amnesty to members of the military who violated human rights during the military regime (1973-1985), to stop privatization of public utilities companies (See Economy: Public Sector), to defend pensioners' incomes, and to protect water resources.",a Plebiscite,384d_enhanced_top1
1649,What religions are found in Uruguay?,What religions are found in Uruguay?,"Although the majority of Uruguayans do not actively practice a religion, they are nominally church members in the Catholic, Protestant and Jewish communities. It is widely considered the most secular nation in Latin America.","Catholic, Protestant and Jewish",384d_enhanced_top1
1651,What has Uruguay done to be competitive in agriculture?,What has Uruguay done to be competitive in agriculture?,"Today, agriculture contributes roughly 10% to the countryâs GDP and is still the main foreign exchange earner, putting Uruguay in line with other agricultural exporters like Brazil, Canada and New Zealand. Uruguay is a member of the Cairns Group of exporters of agricultural products. Uruguayâs agriculture has relatively low inputs of labour, technology and capital in comparison with other such countries, which results in comparatively lower yields per hectare but also opens the door for Uruguay to market its products as ""natural"" or ""ecological.""","low inputs of labour, technology and capital",384d_enhanced_top1
1653,What are the names of Uruguay's political parties?,What are the names of Uruguay's political parties?,"Uruguay's politics takes place in a framework of a presidential representative democratic republic, whereby the President of Uruguay is both head of state and head of government, and of a pluriform multi-party system. Executive power is exercised by the government. Legislative power is vested in both the government and the two chambers of the General Assembly of Uruguay. The Judiciary is independent of the executive and the legislature.","a presidential representative democratic republic, whereby the President of Uruguay is both head of state and head of government, and of a pluriform multi-party system",384d_enhanced_top1
1655,Is Uruguay the smallest soverign nation in South America?,Is Uruguay the smallest soverign nation in South America?,"It is bordered by Brazil to the north, by Argentina across the bank of both the Uruguay River to the west and the estuary of RÃ­o de la Plata to the southwest, and the South Atlantic Ocean to the southeast. It is the second smallest independent country in South America, larger only than Suriname and the French overseas department of French Guiana.",yes,384d_enhanced_top1
1657,What was founded by the Spanish in the early 18th century as a military stronghold?,What city was founded by the Spanish in the early 18th century as a military stronghold?,"Europeans arrived in the territory of present-day Uruguay in the year 1536, but the absence of gold and silver limited settlement in the region during the 16th and 17th centuries. Uruguay became a zone of contention between the Spanish and the Portuguese empires. In 1603 the Spanish began to introduce cattle, which became a source of wealth in the region.  /ref> The first permanent settlement on the territory of present-day Uruguay was founded by the Spanish in 1624 at Villa Soriano on the south-western coast of the RÃ­o Negro. In 1680 the Portuguese built a fort at Colonia del Sacramento.  /ref> Spanish colonization increased as Spain sought to limit Portugal's expansion of Brazil's frontiers.",Colonia del Sacramento,384d_enhanced_top1
1658,What has many possible meanings?,What has many possible meanings?,"Briefly, it can be explained thus:",a symphony,384d_enhanced_top1
1659,How do india and latin america relate?,What is the difference between India and latin america?,"Uruguay has a middle income economy, mainly dominated by the State services sector, an export-oriented agricultural sector and an industrial sector. Uruguay relies heavily on trade, particularly in agricultural exports, leaving the country particularly vulnerable to slumps in commodity prices and global economic slowdowns. After averaging growth of 5% annually in 1996-1998, in 1999-2001 the economy suffered from lower demand in Argentina and Brazil, which together account for nearly half of Uruguay's exports. Despite the severity of the trade shocks, Uruguay's financial indicators remained stabler than those of its neighbours, a reflection of its solid reputation among investors and its investment-grade sovereign bond rating â one of only two in South America.  About.com: Go South America, based on information from the CIA World Factbook.  In recent years Uruguay has shifted some of its energy into developing the commercial use of IT technologies and has become the first exporter of software in Latin America. Diego Stewart,  Building out: Uruguay exports architectural services to India and Latin America,"" in Latin Trade, May 2005. Retrieved August 11, 2007.",Uruguay exports architectural services to India and Latin America,384d_enhanced_top1
